epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30537,3.03588,4.42872,1.8646,0.0001,0.0129,6e-05,2e-05,3.00674,4.41857,1.86321,2.222e-05,2.222e-05,2.222e-05
2,4.32766,3.20638,4.42736,1.85188,0.0002,0.02581,0.00012,2e-05,2.60016,4.409,1.63603,5.50001e-05,5.50001e-05,5.50001e-05
3,5.41084,2.56499,4.33738,1.54019,0,0,0,0,1.94537,4.30421,1.19592,8.71202e-05,8.71202e-05,8.71202e-05
4,6.49988,1.99514,4.18691,1.24012,0.00015,0.0079,0.00012,4e-05,1.90329,4.22186,1.06201,0.00011858,0.00011858,0.00011858
5,7.5345,1.71325,3.99141,1.08674,0.00135,0.04799,0.00112,0.00022,1.6128,4.16111,0.99228,0.000149381,0.000149381,0.000149381
6,8.57883,1.64283,3.83598,1.05554,0.00144,0.03889,0.00189,0.00026,1.58421,4.16317,0.99314,0.000179521,0.000179521,0.000179521
7,9.59516,1.55069,3.7065,1.01814,0.13475,0.05714,0.06947,0.0186,1.64848,4.10567,0.99105,0.000209001,0.000209001,0.000209001
8,10.5769,1.46675,3.54478,0.99103,0.07789,0.1039,0.0473,0.00987,1.56598,4.06382,0.97067,0.000237822,0.000237822,0.000237822
9,11.5937,1.4914,3.42923,0.9839,0.0233,0.21559,0.04319,0.01265,1.37442,4.00693,0.93688,0.000265982,0.000265982,0.000265982
10,12.588,1.46271,3.27324,0.98482,0.02201,0.2956,0.0483,0.01221,1.35705,3.98271,0.93731,0.000293483,0.000293483,0.000293483
11,13.6125,1.391,3.05482,0.97893,0.03148,0.42206,0.09753,0.02956,1.34057,3.9102,0.93944,0.000320324,0.000320324,0.000320324
12,14.8001,1.54775,2.95239,0.98077,0.02644,0.41749,0.11631,0.03535,1.3151,3.87601,0.93782,0.000346504,0.000346504,0.000346504
13,15.8298,1.39856,2.71421,0.96311,0.02453,0.40628,0.15473,0.0424,1.30079,3.81126,0.93027,0.000372025,0.000372025,0.000372025
14,16.861,1.4407,2.55912,0.95607,0.02918,0.43066,0.18888,0.05743,1.29716,3.76843,0.92331,0.000396886,0.000396886,0.000396886
15,17.8744,1.44913,2.38977,0.93902,0.034,0.46016,0.20542,0.08021,1.22786,3.68129,0.91029,0.000421087,0.000421087,0.000421087
16,18.9038,1.45112,2.21691,0.9345,0.03448,0.44433,0.17688,0.06883,1.25034,3.65562,0.90992,0.000444628,0.000444628,0.000444628
17,20.0291,1.43983,2.11647,0.92646,0.03629,0.45925,0.18293,0.07488,1.20802,3.61581,0.89992,0.000467509,0.000467509,0.000467509
18,21.0393,1.44901,1.91642,0.9542,0.04187,0.48025,0.19206,0.08639,1.21569,3.57202,0.89952,0.00048973,0.00048973,0.00048973
19,22.085,1.40672,1.87271,0.92122,0.05015,0.53173,0.26993,0.13568,1.25406,3.49841,0.90011,0.000511291,0.000511291,0.000511291
20,23.0821,1.31638,1.66063,0.92037,0.05377,0.56413,0.33338,0.18187,1.22513,3.39015,0.89578,0.000532192,0.000532192,0.000532192
21,24.0717,1.28849,1.59796,0.92101,0.05767,0.59961,0.39957,0.23163,1.22156,3.2654,0.89979,0.000552434,0.000552434,0.000552434
22,25.0667,1.32624,1.51809,0.90743,0.0581,0.62468,0.46357,0.27163,1.24927,3.14923,0.90706,0.000572015,0.000572015,0.000572015
23,26.1104,1.33437,1.49094,0.91551,0.05831,0.6514,0.50472,0.29888,1.27671,3.05509,0.91396,0.000590936,0.000590936,0.000590936
24,27.1516,1.30255,1.34561,0.92093,0.66622,0.50674,0.54325,0.33155,1.20428,2.91863,0.90464,0.000609198,0.000609198,0.000609198
25,28.1559,1.23714,1.28997,0.92565,0.92466,0.42142,0.58409,0.37621,1.21849,2.74138,0.91235,0.0006268,0.0006268,0.0006268
26,29.1441,1.33898,1.25662,0.93617,0.9609,0.34841,0.61707,0.40533,1.19441,2.58269,0.90553,0.000643741,0.000643741,0.000643741
27,30.1554,1.26957,1.2154,0.92818,0.97743,0.38325,0.6327,0.40045,1.29404,2.48359,0.9179,0.000660023,0.000660023,0.000660023
28,31.1715,1.25639,1.1871,0.90404,0.85285,0.42526,0.64067,0.38915,1.37708,2.36873,0.94561,0.000675645,0.000675645,0.000675645
29,32.164,1.3772,1.24313,0.91652,0.85285,0.42526,0.64067,0.38915,1.37708,2.36873,0.94561,0.000690606,0.000690606,0.000690606
30,33.1925,1.24604,1.1358,0.91306,0.85242,0.5475,0.71605,0.46199,1.23634,2.0943,0.92926,0.000704908,0.000704908,0.000704908
31,34.2046,1.22469,1.07901,0.91887,0.84791,0.59228,0.76975,0.51983,1.14238,1.89239,0.90312,0.00071855,0.00071855,0.00071855
32,35.2215,1.26377,1.06616,0.91863,0.8256,0.63331,0.79889,0.535,1.18347,1.76171,0.90378,0.000731532,0.000731532,0.000731532
33,36.1935,1.19103,1.12546,0.92338,0.8256,0.63331,0.79889,0.535,1.18347,1.76171,0.90378,0.000743854,0.000743854,0.000743854
34,37.2341,1.21121,1.06085,0.91282,0.79428,0.65226,0.81882,0.55888,1.16682,1.64924,0.89919,0.000748036,0.000748036,0.000748036
35,38.4153,1.19016,1.04388,0.91145,0.8001,0.66677,0.82646,0.56233,1.1603,1.5965,0.90831,0.000737037,0.000737037,0.000737037
36,39.4659,1.21165,1.06518,0.91137,0.8035,0.69308,0.82412,0.56581,1.12385,1.53721,0.90454,0.000726038,0.000726038,0.000726038
37,40.4174,1.15132,0.97931,0.90284,0.8035,0.69308,0.82412,0.56581,1.12385,1.53721,0.90454,0.00071504,0.00071504,0.00071504
