epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65579,1.65153,3.67413,1.63094,0.15319,0.69712,0.25616,0.10635,1.22733,3.33956,1.31837,7e-05,7e-05,7e-05
2,7.24185,1.00629,3.38807,1.21709,0.18193,0.96746,0.74167,0.46751,0.77951,3.17931,1.01054,0.00014703,0.00014703,0.00014703
3,9.38014,0.70927,3.02794,1.04384,0.20041,0.97747,0.81822,0.57107,0.6663,3.117,0.96018,0.000220892,0.000220892,0.000220892
4,11.5337,0.70588,2.73352,1.02668,0.24929,0.98248,0.93229,0.76426,0.58631,3.00119,0.88812,0.000291586,0.000291586,0.000291586
5,13.6729,0.68419,2.41534,1.0016,0.23102,0.96746,0.94806,0.80971,0.55573,2.90885,0.88686,0.000359112,0.000359112,0.000359112
6,15.7896,0.7123,2.11997,0.99563,0.39223,0.97247,0.96357,0.82888,0.57543,2.88121,0.88499,0.00042347,0.00042347,0.00042347
7,17.8576,0.68575,1.68824,0.98595,0.32723,0.96245,0.94792,0.80947,0.62351,2.81881,0.92132,0.00048466,0.00048466,0.00048466
8,20.2602,0.67346,1.46705,0.99739,0.93237,0.69019,0.88735,0.7358,0.71167,2.62193,0.99301,0.000542682,0.000542682,0.000542682
9,24.2345,0.65018,1.26184,1.0048,0.94787,0.91031,0.96961,0.82616,0.6378,1.71965,0.93056,0.000597536,0.000597536,0.000597536
10,28.4096,0.63411,1.11681,0.98668,0.97111,0.94869,0.98783,0.80497,0.70859,1.42485,0.95195,0.000649222,0.000649222,0.000649222
11,32.3904,0.63098,0.98337,0.99315,0.98721,0.96569,0.99168,0.81745,0.65377,0.89257,0.91789,0.00069774,0.00069774,0.00069774
12,36.5397,0.62958,0.89904,0.99277,0.97565,0.96245,0.98765,0.87106,0.53634,0.66836,0.89303,0.00074309,0.00074309,0.00074309
13,40.6199,0.61032,0.84672,0.99728,0.9654,0.97776,0.98867,0.88094,0.50691,0.59544,0.88829,0.0007624,0.0007624,0.0007624
14,44.7409,0.60044,0.77639,0.99211,0.98108,0.96996,0.98501,0.86653,0.49445,0.59798,0.87167,0.0007426,0.0007426,0.0007426
15,48.3632,0.56972,0.72537,0.98202,0.95566,0.96245,0.97746,0.85376,0.49182,0.61863,0.88412,0.0007228,0.0007228,0.0007228
16,50.3836,0.5468,0.69502,0.95469,0.96979,0.95745,0.98374,0.87882,0.47316,0.60575,0.87782,0.000703,0.000703,0.000703
17,52.4069,0.50859,0.64017,0.96057,0.94234,0.95494,0.9809,0.89059,0.47325,0.62966,0.87009,0.0006832,0.0006832,0.0006832
18,54.4567,0.52091,0.62552,0.94128,0.92192,0.9458,0.98105,0.88255,0.48219,0.62368,0.87754,0.0006634,0.0006634,0.0006634
19,56.4981,0.49456,0.57862,0.92255,0.96379,0.97622,0.99176,0.91636,0.42566,0.51342,0.82048,0.0006436,0.0006436,0.0006436
