epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77915,0,33.967,0,0,0,0,0,0,20.5546,0,0,0,0
2,4.67149,0,33.9402,0,0,0,0,0,0,20.556,0,1.23763e-05,1.23763e-05,1.23763e-05
3,6.42495,0,33.9416,0,0,0,0,0,0,20.5566,0,2.4505e-05,2.4505e-05,2.4505e-05
4,8.20811,0,33.8916,0,0,0,0,0,0,20.5561,0,3.63862e-05,3.63862e-05,3.63862e-05
5,9.95754,0,33.8282,0,0,0,0,0,0,20.5545,0,4.802e-05,4.802e-05,4.802e-05
6,11.5892,0,33.7229,0,0,0,0,0,0,20.5526,0,5.94062e-05,5.94062e-05,5.94062e-05
7,13.4485,0,33.6673,0,0,0,0,0,0,20.5485,0,7.0545e-05,7.0545e-05,7.0545e-05
8,15.146,0,33.5815,0,0,0,0,0,0,20.5438,0,8.14362e-05,8.14362e-05,8.14362e-05
9,16.8357,0,33.3624,0,0,0,0,0,0,20.5392,0,9.208e-05,9.208e-05,9.208e-05
10,18.5196,0,33.2246,0,0,0,0,0,0,20.5336,0,0.000102476,0.000102476,0.000102476
11,20.4086,0,33.1041,0,0,0,0,0,0,20.5273,0,0.000112625,0.000112625,0.000112625
12,22.2192,0,32.9575,0,0,0,0,0,0,20.5203,0,0.000122526,0.000122526,0.000122526
13,24.6812,0,32.8457,0,0,0,0,0,0,20.5129,0,0.00013218,0.00013218,0.00013218
14,27.795,0,32.6625,0,0,0,0,0,0,20.5051,0,0.000141586,0.000141586,0.000141586
15,31.1367,0,32.5339,0,0,0,0,0,0,20.4964,0,0.000150745,0.000150745,0.000150745
16,34.3561,0,32.3725,0,0,0,0,0,0,20.4871,0,0.000159656,0.000159656,0.000159656
17,37.5127,0,32.112,0,0,0,0,0,0,20.4773,0,0.00016832,0.00016832,0.00016832
18,40.4644,0,31.9787,0,0,0,0,0,0,20.4773,0,0.000176736,0.000176736,0.000176736
19,43.4034,0,32.0083,0,0,0,0,0,0,20.4681,0,0.000184905,0.000184905,0.000184905
20,46.5062,0,31.7609,0,0,0,0,0,0,20.4681,0,0.000192826,0.000192826,0.000192826
21,49.5948,0,31.829,0,0,0,0,0,0,20.4581,0,0.0002005,0.0002005,0.0002005
22,51.7309,0,31.5693,0,0,0,0,0,0,20.4581,0,0.000207926,0.000207926,0.000207926
23,53.565,0,31.6171,0,0,0,0,0,0,20.4475,0,0.000215105,0.000215105,0.000215105
24,55.0956,0,31.3137,0,0,0,0,0,0,20.4475,0,0.000222036,0.000222036,0.000222036
25,56.8841,0,31.3034,0,0,0,0,0,0,20.4363,0,0.00022872,0.00022872,0.00022872
26,58.4514,0,31.1731,0,0,0,0,0,0,20.4363,0,0.000235156,0.000235156,0.000235156
27,60.1085,0,31.0724,0,0,0,0,0,0,20.4214,0,0.000241345,0.000241345,0.000241345
28,61.717,0,30.8696,0,0,0,0,0,0,20.4214,0,0.000247286,0.000247286,0.000247286
29,63.3594,0,30.8717,0,0,0,0,0,0,20.4036,0,0.00025298,0.00025298,0.00025298
30,65.114,0,30.7299,0,0,0,0,0,0,20.4036,0,0.000258426,0.000258426,0.000258426
31,66.7965,0,30.6024,0,0,0,0,0,0,20.3828,0,0.000263625,0.000263625,0.000263625
32,68.4007,0,30.39,0,0,0,0,0,0,20.3828,0,0.000268576,0.000268576,0.000268576
33,70.2517,0,30.3782,0,0,0,0,0,0,20.3581,0,0.00027328,0.00027328,0.00027328
34,71.8834,0,30.1002,0,0,0,0,0,0,20.3581,0,0.000277736,0.000277736,0.000277736
35,73.5648,0,30.1069,0,0,0,0,0,0,20.3299,0,0.000281945,0.000281945,0.000281945
36,75.1312,0,29.8178,0,0,0,0,0,0,20.3299,0,0.000285906,0.000285906,0.000285906
37,76.9837,0,29.7998,0,0,0,0,0,0,20.2996,0,0.00028962,0.00028962,0.00028962
38,78.6599,0,29.4818,0,0,0,0,0,0,20.2996,0,0.000293086,0.000293086,0.000293086
39,80.4793,0,29.4973,0,0,0,0,0,0,20.2636,0,0.000296305,0.000296305,0.000296305
40,82.0785,0,29.3054,0,0,0,0,0,0,20.2636,0,0.000299276,0.000299276,0.000299276
41,83.7558,0,29.2015,0,0,0,0,0,0,20.2295,0,0.000302,0.000302,0.000302
